BioNavigator Version	6.3.67.0	PamGrid Version	
spotRow,spotCol,ID,Barcode,Row,Signal_Saturation
-1,-1,#REF,641129101,1,0.0
-1,-1,#REF,641129101,1,0.0
-1,-1,#REF,641129101,1,0.0
-1,-1,#REF,641129101,1,0.0
-1,-1,#REF,641129101,1,0.0
-1,-1,#REF,641129101,2,0.0
-1,-1,#REF,641129101,2,0.0
-1,-1,#REF,641129101,2,0.0
-1,-1,#REF,641129101,2,0.0
-1,-1,#REF,641129101,2,0.0
-1,-1,#REF,641129101,3,0.0
-1,-1,#REF,641129101,3,0.0
-1,-1,#REF,641129101,3,0.0
-1,-1,#REF,641129101,3,0.0
-1,-1,#REF,641129101,3,0.0
-1,-1,#REF,641129101,4,0.0
-1,-1,#REF,641129101,4,0.0
-1,-1,#REF,641129101,4,0.0
-1,-1,#REF,641129101,4,0.0
-1,-1,#REF,641129101,4,0.0
-3,-1,#REF,641129101,1,0.0
-3,-1,#REF,641129101,1,0.0
-3,-1,#REF,641129101,1,0.0
-3,-1,#REF,641129101,1,0.0
-3,-1,#REF,641129101,1,0.0
-3,-1,#REF,641129101,2,0.0
-3,-1,#REF,641129101,2,0.0
-3,-1,#REF,641129101,2,0.0
-3,-1,#REF,641129101,2,0.0
-3,-1,#REF,641129101,2,0.0
-3,-1,#REF,641129101,3,0.0
-3,-1,#REF,641129101,3,0.0
-3,-1,#REF,641129101,3,0.0
-3,-1,#REF,641129101,3,0.0
-3,-1,#REF,641129101,3,0.0
-3,-1,#REF,641129101,4,0.0
-3,-1,#REF,641129101,4,0.0
-3,-1,#REF,641129101,4,0.0
-3,-1,#REF,641129101,4,0.0
-3,-1,#REF,641129101,4,0.0
-5,-1,#REF,641129101,1,0.0
-5,-1,#REF,641129101,1,0.0
-5,-1,#REF,641129101,1,0.0
-5,-1,#REF,641129101,1,0.0
-5,-1,#REF,641129101,1,0.0
-5,-1,#REF,641129101,2,0.0
-5,-1,#REF,641129101,2,0.0
-5,-1,#REF,641129101,2,0.0
-5,-1,#REF,641129101,2,0.0
-5,-1,#REF,641129101,2,0.0
-5,-1,#REF,641129101,3,0.0
-5,-1,#REF,641129101,3,0.0
-5,-1,#REF,641129101,3,0.0
-5,-1,#REF,641129101,3,0.0
-5,-1,#REF,641129101,3,0.0
-5,-1,#REF,641129101,4,0.0
-5,-1,#REF,641129101,4,0.0
-5,-1,#REF,641129101,4,0.0
-5,-1,#REF,641129101,4,0.0
-5,-1,#REF,641129101,4,0.0
-3,-2,#REF,641129101,1,0.0
-3,-2,#REF,641129101,1,0.0
-3,-2,#REF,641129101,1,0.0
-3,-2,#REF,641129101,1,0.0
-3,-2,#REF,641129101,1,0.0
-3,-2,#REF,641129101,2,0.0
-3,-2,#REF,641129101,2,0.0
-3,-2,#REF,641129101,2,0.0
-3,-2,#REF,641129101,2,0.0
-3,-2,#REF,641129101,2,0.0
-3,-2,#REF,641129101,3,0.0
-3,-2,#REF,641129101,3,0.0
-3,-2,#REF,641129101,3,0.0
-3,-2,#REF,641129101,3,0.0
-3,-2,#REF,641129101,3,0.0
-3,-2,#REF,641129101,4,0.0
-3,-2,#REF,641129101,4,0.0
-3,-2,#REF,641129101,4,0.0
-3,-2,#REF,641129101,4,0.0
-3,-2,#REF,641129101,4,0.0
-2,-20,#REF,641129101,1,0.0
-2,-20,#REF,641129101,1,0.0
-2,-20,#REF,641129101,1,0.0
-2,-20,#REF,641129101,1,0.0
-2,-20,#REF,641129101,1,0.0
-2,-20,#REF,641129101,2,0.0
-2,-20,#REF,641129101,2,0.0
-2,-20,#REF,641129101,2,0.0
-2,-20,#REF,641129101,2,0.0
-2,-20,#REF,641129101,2,0.0
-2,-20,#REF,641129101,3,0.0
-2,-20,#REF,641129101,3,0.0
-2,-20,#REF,641129101,3,0.0
-2,-20,#REF,641129101,3,0.0
-2,-20,#REF,641129101,3,0.0
-2,-20,#REF,641129101,4,0.0
-2,-20,#REF,641129101,4,0.0
-2,-20,#REF,641129101,4,0.0
-2,-20,#REF,641129101,4,0.0
-2,-20,#REF,641129101,4,0.0
-4,-20,#REF,641129101,1,0.0
-4,-20,#REF,641129101,1,0.0
-4,-20,#REF,641129101,1,0.0
-4,-20,#REF,641129101,1,0.0
-4,-20,#REF,641129101,1,0.0
-4,-20,#REF,641129101,2,0.0
-4,-20,#REF,641129101,2,0.0
-4,-20,#REF,641129101,2,0.0
-4,-20,#REF,641129101,2,0.0
-4,-20,#REF,641129101,2,0.0
-4,-20,#REF,641129101,3,0.0
-4,-20,#REF,641129101,3,0.0
-4,-20,#REF,641129101,3,0.0
-4,-20,#REF,641129101,3,0.0
-4,-20,#REF,641129101,3,0.0
-4,-20,#REF,641129101,4,0.0
-4,-20,#REF,641129101,4,0.0
-4,-20,#REF,641129101,4,0.0
-4,-20,#REF,641129101,4,0.0
-4,-20,#REF,641129101,4,0.0
-6,-20,#REF,641129101,1,0.0
-6,-20,#REF,641129101,1,0.0
-6,-20,#REF,641129101,1,0.0
-6,-20,#REF,641129101,1,0.0
-6,-20,#REF,641129101,1,0.0
-6,-20,#REF,641129101,2,0.0
-6,-20,#REF,641129101,2,0.0
-6,-20,#REF,641129101,2,0.0
-6,-20,#REF,641129101,2,0.0
-6,-20,#REF,641129101,2,0.0
-6,-20,#REF,641129101,3,0.0
-6,-20,#REF,641129101,3,0.0
-6,-20,#REF,641129101,3,0.0
-6,-20,#REF,641129101,3,0.0
-6,-20,#REF,641129101,3,0.0
-6,-20,#REF,641129101,4,0.0
-6,-20,#REF,641129101,4,0.0
-6,-20,#REF,641129101,4,0.0
-6,-20,#REF,641129101,4,0.0
-6,-20,#REF,641129101,4,0.0
-6,-19,#REF,641129101,1,0.0
-6,-19,#REF,641129101,1,0.0
-6,-19,#REF,641129101,1,0.0
-6,-19,#REF,641129101,1,0.0
-6,-19,#REF,641129101,1,0.0
-6,-19,#REF,641129101,2,0.0
-6,-19,#REF,641129101,2,0.0
-6,-19,#REF,641129101,2,0.0
-6,-19,#REF,641129101,2,0.0
-6,-19,#REF,641129101,2,0.0
-6,-19,#REF,641129101,3,0.0
-6,-19,#REF,641129101,3,0.0
-6,-19,#REF,641129101,3,0.0
-6,-19,#REF,641129101,3,0.0
-6,-19,#REF,641129101,3,0.0
-6,-19,#REF,641129101,4,0.0
-6,-19,#REF,641129101,4,0.0
-6,-19,#REF,641129101,4,0.0
-6,-19,#REF,641129101,4,0.0
-6,-19,#REF,641129101,4,0.0
1,1,EFS_246_258,641129101,1,0.0
1,1,EFS_246_258,641129101,1,0.0
1,1,EFS_246_258,641129101,1,0.0
1,1,EFS_246_258,641129101,1,0.0
1,1,EFS_246_258,641129101,1,0.0
1,1,EFS_246_258,641129101,2,0.0
1,1,EFS_246_258,641129101,2,0.0
1,1,EFS_246_258,641129101,2,1.0
1,1,EFS_246_258,641129101,2,1.0
1,1,EFS_246_258,641129101,2,1.0
1,1,EFS_246_258,641129101,3,0.0
1,1,EFS_246_258,641129101,3,0.0
1,1,EFS_246_258,641129101,3,0.0
1,1,EFS_246_258,641129101,3,0.0
1,1,EFS_246_258,641129101,3,0.0
1,1,EFS_246_258,641129101,4,0.0
1,1,EFS_246_258,641129101,4,0.0
1,1,EFS_246_258,641129101,4,0.0
1,1,EFS_246_258,641129101,4,0.51485151052475
1,1,EFS_246_258,641129101,4,1.0
1,2,FRK_380_392,641129101,1,0.0
1,2,FRK_380_392,641129101,1,0.0
1,2,FRK_380_392,641129101,1,0.0
1,2,FRK_380_392,641129101,1,0.0
1,2,FRK_380_392,641129101,1,0.0
1,2,FRK_380_392,641129101,2,0.0
1,2,FRK_380_392,641129101,2,0.0
1,2,FRK_380_392,641129101,2,0.0
1,2,FRK_380_392,641129101,2,1.0
1,2,FRK_380_392,641129101,2,1.0
1,2,FRK_380_392,641129101,3,0.0
1,2,FRK_380_392,641129101,3,0.0
1,2,FRK_380_392,641129101,3,0.0
1,2,FRK_380_392,641129101,3,0.0
1,2,FRK_380_392,641129101,3,0.0
1,2,FRK_380_392,641129101,4,0.0
1,2,FRK_380_392,641129101,4,0.0
1,2,FRK_380_392,641129101,4,0.0
1,2,FRK_380_392,641129101,4,0.0
1,2,FRK_380_392,641129101,4,1.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,1,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,1,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,1,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,1,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,1,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,2,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,2,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,2,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,2,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,2,1.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,3,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,3,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,3,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,3,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,3,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,4,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,4,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,4,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,4,0.0
1,3,ART_004_EAIYAAPFAKKKXC,641129101,4,0.283018857240677
1,4,PLCG1_764_776,641129101,1,0.0
1,4,PLCG1_764_776,641129101,1,0.0
1,4,PLCG1_764_776,641129101,1,0.0
1,4,PLCG1_764_776,641129101,1,0.0
1,4,PLCG1_764_776,641129101,1,0.0
1,4,PLCG1_764_776,641129101,2,0.0
1,4,PLCG1_764_776,641129101,2,0.0
1,4,PLCG1_764_776,641129101,2,0.0
1,4,PLCG1_764_776,641129101,2,1.0
1,4,PLCG1_764_776,641129101,2,1.0
1,4,PLCG1_764_776,641129101,3,0.0
1,4,PLCG1_764_776,641129101,3,0.0
1,4,PLCG1_764_776,641129101,3,0.0
1,4,PLCG1_764_776,641129101,3,0.0
1,4,PLCG1_764_776,641129101,3,0.0
1,4,PLCG1_764_776,641129101,4,0.0
1,4,PLCG1_764_776,641129101,4,0.0
1,4,PLCG1_764_776,641129101,4,0.0
1,4,PLCG1_764_776,641129101,4,0.0
1,4,PLCG1_764_776,641129101,4,1.0
1,5,PAXI_111_123,641129101,1,0.0
1,5,PAXI_111_123,641129101,1,0.0
1,5,PAXI_111_123,641129101,1,0.0
1,5,PAXI_111_123,641129101,1,0.0
1,5,PAXI_111_123,641129101,1,0.0
1,5,PAXI_111_123,641129101,2,0.0
1,5,PAXI_111_123,641129101,2,0.0
1,5,PAXI_111_123,641129101,2,0.0
1,5,PAXI_111_123,641129101,2,1.0
1,5,PAXI_111_123,641129101,2,1.0
1,5,PAXI_111_123,641129101,3,0.0
1,5,PAXI_111_123,641129101,3,0.0
1,5,PAXI_111_123,641129101,3,0.0
1,5,PAXI_111_123,641129101,3,0.0
1,5,PAXI_111_123,641129101,3,0.0
1,5,PAXI_111_123,641129101,4,0.0
1,5,PAXI_111_123,641129101,4,0.0
1,5,PAXI_111_123,641129101,4,0.0
1,5,PAXI_111_123,641129101,4,0.0
1,5,PAXI_111_123,641129101,4,0.605769217014313
1,6,RET_1022_1034,641129101,1,0.0
1,6,RET_1022_1034,641129101,1,0.0
1,6,RET_1022_1034,641129101,1,0.0
1,6,RET_1022_1034,641129101,1,0.0
